NAME,IATA
Roanne-Renaison Airport,RNE
Annecy-Haute-Savoie-Mont Blanc Airport,NCY
Grenoble-Is?Ÿ??re Airport,GNB
Valence-Chabeuil Airport,VAF
Vichy-Charmeil Airport,VHY
Aurillac Airport,AUR
"Ch?Ÿ?›teauroux-D?Ÿ??ols ""Marcel Dassault"" Airport",CHR
Lyon-Bron Airport,LYN
Cannes-Mandelieu Airport,CEQ
Saint-?Ÿ??tienne-Bouth?Ÿ??on Airport,EBU
Carcassonne Airport,CCF
Marseille Provence Airport,MRS
Nice-C?Ÿ??te d'Azur Airport,NCE
Orange-Caritat (BA 115) Air Base,XOG
Perpignan-Rivesaltes (Llaban?Ÿ??re) Airport,PGF
Le Castellet Airport,CTT
Barcelonnette - Saint-Pons Airport,BAE
Montpellier-M?Ÿ??diterran?Ÿ??e Airport,MPL
B?Ÿ??ziers-Vias Airport,BZR
Avignon-Caumont Airport,AVN
Gap - Tallard Airfield,GAT
Mende-Brenoux Airfield,MEN
Mont-Dauphin - St-Cr?Ÿ??pin Airport,SCP
Paris Beauvais Till?Ÿ?? Airport,BVA
?Ÿ??vreux-Fauville (BA 105) Air Base,EVX
Le Havre Octeville Airport,LEH
Orl?Ÿ??ans-Bricy (BA 123) Air Base,ORE
Ch?Ÿ?›lons-Vatry Airport,XCR
Les Sables-d'Olonne Talmont Airport,LSO
Rouen Airport,URO
Tours-Val-de-Loire Airport,TUF
Cholet Le Pontreau Airport,CET
Laval-Entrammes Airport,LVA
Paris-Le Bourget Airport,LBG
Creil Air Base,CSF
Charles de Gaulle International Airport,CDG
Toussus-le-Noble Airport,TNF
Paris-Orly Airport,ORY
A?Ÿ??rodrome de Pontoise - Cormeilles en Vexin,POX
Villacoublay-V?Ÿ??lizy (BA 107) Air Base,VIY
Nevers-Fourchambault Airport,NVS
Maubeuge-?Ÿ??lesmes Airport,XME
Lille-Lesquin Airport,LIL
Merville-Calonne Airport,HZB
Charleville-M?Ÿ??zi?Ÿ??res Airport,XCZ
Brest Bretagne Airport,BES
Cherbourg-Maupertus Airport,CER
Dinard-Pleurtuit-Saint-Malo Airport,DNR
La Baule-Escoublac Airport,LBY
Granville Airport,GFR
Deauville-Saint-Gatien Airport,DOL
Lorient South Brittany (Bretagne Sud) Airport,LRT
La Roche-sur-Yon Airport,EDM
Landivisiau Air Base,LDV
Caen-Carpiquet Airport,CFR
Le Mans-Arnage Airport,LME
Rennes-Saint-Jacques Airport,RNS
Lannion-C?Ÿ??te de Granit Airport,LAI
Quimper-Cornouaille Airport,UIP
Nantes Atlantique Airport,NTE
Saint-Brieuc-Armor Airport,SBK
Morlaix-Ploujean Airport,MXN
Vannes-Meucon Airport,VNE
Saint-Nazaire-Montoir Airport,SNR
EuroAirport Basel-Mulhouse-Freiburg Airport,BSL
Dijon-Bourgogne Airport,DIJ
?Ÿ??pinal-Mirecourt Airport,EPL
Brive-Souillac,BVE
Nancy-Essey Airport,ENC
Strasbourg Airport,SXB
Toulon-Hy?Ÿ??res Airport,TLN
N?Ÿ??mes-Arles-Camargue Airport,FNI
La M?Ÿ??le Airport,LTT
Miquelon Airport,MQC
St Pierre Airport,FSP
Andravida Air Base,PYR
Dimokritos Airport,AXD
Eleftherios Venizelos International Airport,ATH
Nea Anchialos Airport,VOL
Mulan Airport,LGE
Chios Island National Airport,JKH
Ikaria Airport,JIK
Ioannina Airport,IOA
Heraklion International Nikos Kazantzakis Airport,HER
Kastoria National Airport,KSO
Kithira Airport,KIT
Kefallinia Airport,EFL
Kastelorizo Airport,KZS
Kalamata Airport,KLX
Kos Airport,KGS
Karpathos Airport,AOK
Ioannis Kapodistrias International Airport,CFU
Kasos Airport,KSJ
Alexander the Great International Airport,KVA
Kalymnos Airport,JKL
Filippos Airport,KZI
Leros Airport,LRS
Limnos Airport,LXS
Larisa Air Base,LRA
Mikonos Airport,JMK
Milos Airport,MLO
Mytilene International Airport,MJT
Linga Linga Airport,LGN
Naxos Airport,JNX
Paros National Airport,PAS
Astypalaia Airport,JTY
Aktion National Airport,PVK
Diagoras Airport,RHO
Araxos Airport,GPA
Chania International Airport,CHQ
Skiathos Island National Airport,JSI
Samos Airport,SMI
Syros Airport,JSY
Sparti Airport,SPJ
Santorini Airport,JTR
Sitia Airport,JSH
Skiros Airport,SKU
Thessaloniki Macedonia International Airport,SKG
"Zakynthos International Airport ""Dionysios Solomos""",ZTH
Budapest Liszt Ferenc International Airport,BUD
Debrecen International Airport,DEB
Miskolc Airport,MCQ
P?Ÿ??cs-Pog?Ÿ?­ny Airport,PEV
H?Ÿ??v?Ÿ??z?›????Balaton Airport,SOB
Tasz?Ÿ?­r Air Base,TZR
L'Aquila?›????Preturo Airport,QAQ
Crotone Airport,CRV
Bari Karol Wojty????a Airport,BRI
"Foggia ""Gino Lisa"" Airport",FOG
"Taranto-Grottaglie ""Marcello Arlotta"" Airport",TAR
Lecce Galatina Air Base,LCC
Pescara International Airport,PSR
Brindisi ?›???? Salento Airport,BDS
Lamezia Terme Airport,SUF
Comiso Airport,CIY
Catania-Fontanarossa Airport,CTA
Lampedusa Airport,LMP
Pantelleria Airport,PNL
Falcone?›????Borsellino Airport,PMO
Reggio Calabria Airport,REG
Vincenzo Florio Airport Trapani-Birgi,TPS
Sigonella Navy Air Base,NSY
Belluno Airport,BLX
Ravenna Airport,RAN
Alghero-Fertilia Airport,AHO
Decimomannu Air Base,DCI
Cagliari Elmas Airport,CAG
Olbia Costa Smeralda Airport,OLB
Oristano-Fenosu Airport,FNU
Tortol?Ÿ?ª Airport,TTB
Malpensa International Airport,MXP
Milan Bergamo Airport,BGY
Turin Airport,TRN
Villanova D'Albenga International Airport,ALL
Genoa Cristoforo Colombo Airport,GOA
Milano Linate Airport,LIN
Parma Airport,PMF
Aosta Airport,AOT
Cuneo International Airport,CUF
Aviano Air Base,AVB
Bolzano Airport,BZO
Udine-Campoformido Air Base,UDN
Bologna Guglielmo Marconi Airport,BLQ
Treviso-Sant'Angelo Airport,TSF
Forl?Ÿ?ª Airport,FRL
Brescia Airport,VBS
Trieste?›????Friuli Venezia Giulia Airport,TRS
Federico Fellini International Airport,RMI
Padova Airport,QPA
Verona Villafranca Airport,VRN
Ancona Falconara Airport,AOI
Venice Marco Polo Airport,VCE
Lucca-Tassignano Airport,LCV
Rieti Airport,QRT
Siena-Ampugnano Airport,SAY
Sarzana-Luni Air Base,QLP
Ciampino?›????G. B. Pastine International Airport,CIA
Leonardo da Vinci?›????Fiumicino Airport,FCO
Salerno Costa d'Amalfi Airport,QSR
Marina Di Campo Airport,EBA
Latina Air Base,QLT
Naples International Airport,NAP
Pisa International Airport,PSA
Peretola Airport,FLR
Grosseto Air Base,GRS
Perugia San Francesco d'Assisi ?›???? Umbria International Airport,PEG
Ljubljana Jo????e Pu???nik Airport,LJU
Maribor Airport,MBX
Portoroz Airport,POW
Lekana Airport,LKC
Kunovice Airport,UHE
Karlovy Vary International Airport,KLV
Mari?Ÿ?­nsk?Ÿ?? L?Ÿ?­zn???? Airport,MKA
Ostrava Leos Jan?Ÿ?­???ek Airport,OSR
Olomouc Airport,OLO
Pardubice Airport,PED
P????erov Air Base,PRV
V?Ÿ?­clav Havel Airport Prague,PRG
Brno-Tu????any Airport,BRQ
Vodochody Airport,VOD
Zabreh Ostrava Airport,ZBE
Ben Gurion International Airport,TLV
Beersheba (Teyman) Airport,BEV
Ramon Airport,ETM
Ein Yahav Airfield,EIY
Reginaldo Hammer Airport,LLH
Haifa International Airport,HFA
Ben Ya'akov Airport,RPN
Kiryat Shmona Airport,KSW
Lissadell Airport,LLL
Bar Yehuda Airfield,MTZ
Nevatim Air Base,VTM
Ovda International Airport,VDA
Ramon Air Base,MIP
Yotvata Airfield,YOT
La Macarena Airport,LMC
Malta International Airport,MLA
Palma Airport,LMZ
Lengbati Airport,LNC
Munbil Airport,LNF
Langimar Airport,LNM
Hohenems-Dornbirn Airfield,HOH
Francisco Primo de Verdad y Ramos Airport,LOM
Graz Airport,GRZ
Innsbruck Airport,INN
Klagenfurt Airport,KLU
Linz H?Ÿ??rsching Airport,LNZ
Salzburg Airport,SZG
Vienna International Airport,VIE
Alverca Air Base,AVR
Santa Maria Airport,SMA
Bragan?Ÿ??a Airport,BGC
Beja Airport / Airbase,BYJ
Braga Municipal Aerodrome,BGZ
Aerodromo de Chaves,CHV
Corvo Airport,CVU
Cascais Airport,CAT
Flores Airport,FLW
Faro Airport,FAO
Graciosa Airport,GRW
Horta Airport,HOR
Lajes Airport,TER
Madeira Airport,FNC
Monte Real Air Base,QLR
Jo?Ÿ?œo Paulo II Airport,PDL
Pico Airport,PIX
Portim?Ÿ?œo Airport,PRM
Francisco de S?Ÿ?­ Carneiro Airport,OPO
Porto Santo Airport,PXO
Humberto Delgado Airport (Lisbon Portela Airport),LIS
S?Ÿ?œo Jorge Airport,SJZ
Vila Real Airport,VRL
Aerodromo Goncalves Lobato (Viseu Airport),VSE
Banja Luka International Airport,BNX
Mostar International Airport,OMO
Sarajevo International Airport,SJJ
Tuzla International Airport,TZL
Arad International Airport,ARW
Bac???Ÿu Airport,BCM
Maramure???? International Airport,BAY
B???Ÿneasa International Airport,BBU
Mihail Kog???Ÿlniceanu International Airport,CND
Cluj-Napoca International Airport,CLJ
Caransebe???? Airport,CSB
Craiova Airport,CRA
Ia????i Airport,IAS
Oradea International Airport,OMR
Henri Coand???Ÿ International Airport,OTP
Sibiu International Airport,SBZ
Satu Mare Airport,SUJ
Suceava Stefan cel Mare Airport,SCV
Tulcea Airport,TCE
Transilvania T?Ÿ?›rgu Mure???? International Airport,TGM
Timi????oara Traian Vuia Airport,TSR
Geneva Cointrin International Airport,GVA
Neuchatel Airport,QNC
Sion Airport,SIR
Emmen Air Base,EML
Lugano Airport,LUG
Bern Belp Airport,BRN
Buochs Airport,BXO
Grenchen Airport,ZHI
Z?Ÿ?¬rich Airport,ZRH
Locarno Airport,ZJI
St Gallen Altenrhein Airport,ACH
Samedan Airport,SMV
G?Ÿ??k?Ÿ??eada Airport,GKD
Esenbo????a International Airport,ESB
Etimesgut Air Base,ANK
Adana Airport,ADA
???øncirlik Air Base,UAB
Afyon Airport,AFY
Antalya International Airport,AYT
Gaziantep International Airport,GZT
Kastamonu Airport,KFS
Konya Airport,KYA
Amasya Merzifon Airport,MZH
Sivas Nuri Demira???? Airport,VAS
Zonguldak Airport,ONQ
Malatya Erha?Ÿ?? Airport,MLX
Kayseri Erkilet Airport,ASR
Tokat Airport,TJK
?Ÿ??ardak Airport,DNZ
Nev????ehir Kapadokya Airport,NAV
Atat?Ÿ?¬rk International Airport,ISL
?Ÿ?????ñld???ñr Airport,CII
Bursa Airport,BTZ
Bal???ñkesir Merkez Airport,BZI
Band???ñrma Airport,BDM
?Ÿ??anakkale Airport,CKZ
Eski????ehir Air Base,ESK
Adnan Menderes International Airport,ADB
?Ÿ??i????li Airport,IGL
U????ak Airport,USQ
Cengiz Topel Airport,KCO
Bursa Yeni????ehir Airport,YEI
Dalaman International Airport,DLM
Tekirda???? ?Ÿ??orlu Airport,TEQ
Ims???ñk Airport,BXN
Anadolu Airport,AOE
Zafer Airport,KZR
Elaz???ñ???? Airport,EZS
Diyarbakir Airport,DIY
Erzincan Airport,ERC
Erzurum International Airport,ERZ
Kars Airport,KSY
Trabzon International Airport,TZX
????anl???ñurfa Airport,SFQ
Van Ferit Melen Airport,VAN
Batman Airport,BAL
Mu???? Airport,MSR
Siirt Airport,SXZ
Sinop Airport,NOP
Kahramanmara???? Airport,KCM
A????r???ñ Airport,AJI
Ad???ñyaman Airport,ADF
Mardin Airport,MQM
????anl???ñurfa GAP Airport,GNY
???????ñrnak ????erafettin El?Ÿ??i Airport,NKT
Hakkari Y?Ÿ?¬ksekova Airport,YKO
Hatay Airport,HTY
Leitre Airport,LTF
S?Ÿ?¬leyman Demirel International Airport,ISE
Bal???ñkesir K?Ÿ??rfez Airport,EDO
Milas Bodrum International Airport,BJV
Samsun ?Ÿ??ar????amba Airport,SZF
Sabiha G?Ÿ??k?Ÿ??en International Airport,SAW
Istanbul Airport,IST
Gazipa????a Airport,GZP
B???Ÿl????i International Airport,BZY
Chi????in???Ÿu International Airport,KIV
Lublin Airport,LUZ
Lebak Rural Airport,LWA
Ohrid St. Paul the Apostle Airport,OHD
Skopje International Airport,SKP
Gibraltar Airport,GIB
Brak Airport,BCQ
Martubah Airport,DNF
Misratah Airport,MRA
Ubari Airport,QUB
Belgrade Nikola Tesla Airport,BEG
Berane Airport,IVG
Batajnica Air Base,BJY
Morava Airport,KVO
Nis Airport,INI
Cenej Airport,QND
Podgorica Airport,TGD
Tivat Airport,TIV
M. R. ???ÿtef?Ÿ?­nik Airport,BTS
Ko???­ice Airport,KSC
Lu???enec Airport,LUE
Pie???­???any Airport,PZY
Pre???­ov Air Base,POV
Slia??? Airport,SLD
Poprad-Tatry Airport,TAT
???«ilina Airport,ILZ
Drummond Airport,DRU
Goulimime Airport,GLN
Ware Airport,UWA
Mamai Airport,MAP
JAGS McCartney International Airport,GDT
Middle Caicos Airport,MDS
North Caicos Airport,NCA
Pine Cay Airport,PIC
Providenciales Airport,PLS
South Caicos Airport,XSC
Salt Cay Airport,SLX
Maria Montez International Airport,BRX
Cabo Rojo Airport,CBJ
Saman?Ÿ?­ El Catey International Airport,AZS
Constanza - Expedici?Ÿ??n 14 de Junio National Airport,COZ
La Isabela International Airport,JBQ
Casa De Campo International Airport,LRM
Punta Cana International Airport,PUJ
Samana El Portillo Airport,EPS
Gregorio Luperon International Airport,POP
Medfra Airport,MDR
Las Am?Ÿ??ricas International Airport,SDQ
Cibao International Airport,STI
M?Ÿ??douneu Airport,MDV
Loring International Airport,LIZ
Melfi Airport,MEF
Ambohibary Airport,OHB
Doany Airport,DOA
Coban Airport,CBV
Carmelita Airport,CMM
Coatepeque Airport,CTF
La Aurora Airport,GUA
Huehuetenango Airport,HUG
Melchor de Mencos Airport,MCR
Manga Airport,MGP
Puerto Barrios Airport,PBR
Popt?Ÿ?§n Airport,PON
Santa Cruz del Quiche Airport,AQB
Quezaltenango Airport,AAZ
Rubelsanto Airport,RUV
Las Vegas Airport,LCF
Retalhuleu Airport,RER
San Jos?Ÿ?? Airport,GSJ
Mundo Maya International Airport,FRS
Ailuk Airport,AIM
Aur Island Airport,AUL
Enyu Airfield,BII
Ebadon Airport,EBN
Jabot Airport,JAT
Jeh Airport,JEJ
Kaben Airport,KBT
Likiep Airport,LIK
Lae Island Airport,LML
Maloelap Island Airport,MAV
Mejit Atoll Airport,MJB
Majkin Airport,MJE
Namorik Atoll Airport,NDK
Rongelap Island Airport,RNP
Tinak Airport,TIC
Jaluit Airport,UIT
Woja Airport,WJA
Wotje Atoll Airport,WTE
Wotho Island Airport,WTO
Ahuas Airport,AHS
Brus Laguna Airport,BHG
Catacamas Airport,CAA
Carta Airport,LUI
Coyoles Airport,CYL
Cauquira Airport,CDD
El Array?Ÿ?­n Airport,OAN
Celaque Airport,GAC
Iriona Airport,IRN
Jicalapa Airport,GUO
Jutigalpa airport,JUT
Goloson International Airport,LCE
La Esperanza Airport,LEZ
Ram?Ÿ??n Villeda Morales International Airport,SAP
Hooker County Airport,MHN
La Laguna Airport,GJA
Palacios Airport,PCH
Puerto Lempira Airport,PEU
Juan Manuel Galvez International Airport,RTB
Cop?Ÿ?­n Ruinas Airport,RUY
Coronel Enrique Soto Cano Air Base,XPL
Tela Airport,TEA
Toncont?Ÿ??n International Airport,TGU
Trujillo Airport,TJI
Sulaco Airport,SCD
Utila Airport,UII
Morehead Airport,MHY
Yoro Airport,ORO
Mainoru Airstrip,MIZ
Moki Airport,MJJ
Maganja da Costa Airport,MJS
Boscobel Aerodrome,OCJ
Norman Manley International Airport,KIN
Sangster International Airport,MBJ
Ken Jones Airport,POT
Malekolon Airport,MKN
Negril Airport,NEG
Tinson Pen Airport,KTP
Mili Island Airport,MIJ
Malalaua Airport,MLQ
Hinthada Airport,HEB
Cupul Airport,TZM
General Juan N Alvarez International Airport,ACA
Del Norte International Airport,NTR
Jes?Ÿ?§s Ter?Ÿ?­n Paredo International Airport,AGU
Bah?Ÿ??as de Huatulco International Airport,HUX
Cananea National Airport,CNA
General Mariano Matamoros Airport,CVJ
Ciudad Acu?Ÿ?ña New International Airport,ACN
Ciudad del Carmen International Airport,CME
Nuevo Casas Grandes Airport,NCG
Bachigualato Federal International Airport,CUL
Chetumal International Airport,CTM
Ciudad Obreg?Ÿ??n International Airport,CEN
San Antonio Copalar Airport,CJT
Ingeniero Alberto Acu?Ÿ?ña Ongay International Airport,CPE
Abraham Gonz?Ÿ?­lez International Airport,CJS
Chichen Itza International Airport,CZA
General Roberto Fierro Villalobos International Airport,CUU
General Pedro Jose Mendez International Airport,CVM
Captain Rogelio Castillo National Airport,CYW
Cozumel International Airport,CZM
Ciudad Constituci?Ÿ??n Airport,CUA
Ciudad Mante National Airport,MMC
General Guadalupe Victoria International Airport,DGO
Amado Nervo National Airport,TPQ
Ensenada International Airport / El Cipres Air Base,ESE
Don Miguel Hidalgo Y Costilla International Airport,GDL
General Jos?Ÿ?? Mar?Ÿ??a Y?Ÿ?­?Ÿ?ñez International Airport,GYM
Guerrero Negro Airport,GUB
Tehuacan Airport,TCN
General Ignacio P. Garcia International Airport,HMO
Licenciado Miguel de la Madrid Airport,CLQ
Isla Mujeres Airport,ISJ
Plan De Guadalupe International Airport,SLW
Ixtepec Airport,IZT
El Lencero Airport,JAL
Atizapan De Zaragoza Airport,AZP
L?Ÿ?­zaro C?Ÿ?­rdenas Airport,LZC
Valle del Fuerte International Airport,LMM
Del Baj?Ÿ??o International Airport,BJX
Manuel M?Ÿ?­rquez de Le?Ÿ??n International Airport,LAP
Loreto International Airport,LTO
General Servando Canales International Airport,MAM
Licenciado Manuel Crescencio Rejon Int Airport,MID
Mulege Airport,MUG
General Rodolfo S?Ÿ?­nchez Taboada International Airport,MXL
General Francisco J. Mujica International Airport,MLM
Minatitl?Ÿ?­n/Coatzacoalcos National Airport,MTT
Monclova International Airport,LOV
Licenciado Benito Juarez International Airport,MEX
General Mariano Escobedo International Airport,MTY
General Rafael Buelna International Airport,MZT
Nogales International Airport,NOG
Quetzalc?Ÿ??atl International Airport,NLD
Xoxocotl?Ÿ?­n International Airport,OAX
El Taj?Ÿ??n National Airport,PAZ
Hermanos Serd?Ÿ?­n International Airport,PBC
Piedras Negras International Airport,PDS
Punta Colorada Airport,PCO
Licenciado y General Ignacio Lopez Rayon Airport,UPN
Palenque International Airport,PQM
Licenciado Gustavo D?Ÿ??az Ordaz International Airport,PVR
Puerto Escondido International Airport,PXM
Quer?Ÿ??taro Intercontinental Airport,QRO
General Lucio Blanco International Airport,REX
Los Cabos International Airport,SJD
San Felipe International Airport,SFH
Santa Lucia Air Force Base,NLU
Ponciano Arriaga International Airport,SLP
Francisco Sarabia International Airport,TRC
Angel Albino Corzo International Airport,TGZ
General Abelardo L. Rodr?Ÿ??guez International Airport,TIJ
General Francisco Javier Mina International Airport,TAM
Tamuin Airport,TSL
Licenciado Adolfo Lopez Mateos International Airport,TLC
Tapachula International Airport,TAP
Canc?Ÿ?§n International Airport,CUN
Mal Airport,MMV
Carlos Rovirosa P?Ÿ??rez International Airport,VSA
General Heriberto Jara International Airport,VER
General Leobardo C. Ruiz International Airport,ZCL
Ixtapa Zihuatanejo International Airport,ZIH
Zamora Airport,ZMM
Playa De Oro International Airport,ZLO
Mandalgobi Airport,MXW
Bluefields Airport,BEF
San Pedro Airport,BZA
Costa Esmeralda Airport,ECI
Corn Island,RNI
Augusto C. Sandino (Managua) International Airport,MGA
Nueva Guinea Airport,NVG
Puerto Cabezas Airport,PUZ
Rosita Airport,RFS
San Carlos,NCR
Siuna,SIU
Waspam Airport,WSP
Maleo Airport,MOH
Capt Justiniano Montenegro Airport,PDM
Bocas Del Toro International Airport,BOC
Alonso Valderrama Airport,CTD
Cap Manuel Ni?Ÿ?ño International Airport,CHX
Enrique Malek International Airport,DAV
Enrique Adolfo Jimenez Airport,ONX
Makini Airport,MPG
Panama Pacific International Airport,BLB
Mamitupo Airport,MPI
Jaqu?Ÿ?? Airport,JQE
Marcos A. Gelabert International Airport,PAC
Puerto Obaldia Airport,PUE
Scarlett Martinez International Airport,RIH
Ruben Cantu Airport,SYP
Tocumen International Airport,PTY
Mapua(Mabua) Airport,MPU
El Porvenir Airport,PVE
San Blas Airport,NBL
Miyanmin Airport,MPX
Malam Airport,MQO
Arenal Airport,FON
Aerotortuguero Airport,TTQ
Buenos Aires Airport,BAI
Barra del Colorado Airport,BCL
Coto 47 Airport,OTR
Chacarita Airport,JAP
Playa Samara/Carrillo Airport,PLD
Drake Bay Airport,DRK
Flamingo Airport,FMG
Golfito Airport,GLF
Guapiles Airport,GPL
Islita Airport,PBP
Daniel Oduber Quiros International Airport,LIR
Los Chiles Airport,LSL
Limon International Airport,LIO
Mojica Airport,CSC
Guanacaste Airport,NCT
Nosara Airport,NOB
Juan Santamaria International Airport,SJO
Puerto Jimenez Airport,PJM
Palmar Sur Airport,PMZ
Tobias Bolanos International Airport,SYQ
Quepos Managua Airport,XQP
Rio Frio / Progreso Airport,RFR
San Isidro del General Airport,IPZ
San Vito De Java Airport,TOO
Moroak Airport,MRT
Tamarindo Airport,TNO
Tambor Airport,TMU
Upala Airport,UPL
Monse?Ÿ?ñor ?Ÿ??scar Arnulfo Romero International Airport,SAL
Les Cayes Airport,CYA
Cap Haitien International Airport,CAP
Metro Field,MTX
Jacmel Airport,JAK
J?Ÿ??r?Ÿ??mie Airport,JEE
Toussaint Louverture International Airport,PAP
Port-de-Paix Airport,PAX
Montepuez Airport,MTU
Gustavo Rizo Airport,BCA
Las Brujas Airport,BWW
Carlos Manuel de Cespedes Airport,BYM
Maximo Gomez Airport,AVI
Jardines Del Rey Airport,CCC
Jaime Gonzalez Airport,CFG
Vilo Acu?Ÿ?ña International Airport,CYO
Ignacio Agramonte International Airport,CMW
Col?Ÿ??n Airport,QCO
Antonio Maceo International Airport,SCU
Leeward Point Field,NBW
Mariana Grajales Airport,GAO
Jos?Ÿ?? Mart?Ÿ?? International Airport,HAV
Frank Pais International Airport,HOG
Kawama Airport,VRO
La Coloma Airport,LCL
Punta de Maisi Airport,UMA
Mayajigua Airport,MJG
Orestes Acosta Airport,MOA
Sierra Maestra Airport,MZO
San Nicolas De Bari Airport,QSN
Nicaro Airport,ICR
Rafael Cabrera Airport,GER
Playa Baracoa Airport,UPB
Pinar Del Rio Airport,QPD
Abel Santamaria Airport,SNU
San Julian Air Base,SNJ
Siguanea Airport,SZJ
Sancti Spiritus Airport,USS
Alberto Delgado Airport,TND
Juan Gualberto Gomez International Airport,VRA
Hermanos Ameijeiras Airport,VTU
Gerrard Smith International Airport,CYB
Edward Bodden Airfield,LYB
Owen Roberts International Airport,GCM
Motswari Airport,MWR
Abreojos Airport,AJS
Pablo L. Sidar Airport,AZG
Playa del Carmen Airport,PCM
Punta Chivato Airport,PCV
Salina Cruz Naval Air Station,SCX
San Ignacio Airport,SGM
Tulum Naval Air Station,TUY
San Luis R?Ÿ??o Colorado Airport,UAC
?Ÿ?lamos Airport,XAL
Monticello Airport,MXC
Mindik Airport,MXK
Moussoro Airport,MXR
Sungei Tekai Airport,GTK
Long Banga Airport,LBP
Long Lama Airport,LLM
Mostyn Airport,MZS
Sipitang Airport,SPT
Clarence A. Bain Airport,MAY
Andros Town Airport,ASD
Congo Town Airport,TZN
Leonard M Thompson International Airport,MHH
San Andros Airport,SAQ
Spring Point Airport,AXP
Treasure Cay Airport,TCB
Abaco I Walker C Airport,WKR
Chub Cay Airport,CCZ
Great Harbour Cay Airport,GHC
South Bimini Airport,BIM
Arthur's Town Airport,ATC
New Bight Airport,TBI
Cat Cay Airport,CXY
Colonel Hill Airport,CRI
Pitts Town Airport,PWN
Exuma International Airport,GGT
North Eleuthera Airport,ELH
Governor's Harbour Airport,GHB
Normans Cay Airport,NMC
Rock Sound Airport,RSD
Staniel Cay Airport,TYM
Grand Bahama International Airport,FPO
Auxiliary Airfield,GBI
West End Airport,WTD
Inagua Airport,IGA
May Creek Airport,MYK
Deadman's Cay Airport,LGI
Stella Maris Airport,SML
Mayaguana Airport,MYG
Lynden Pindling International Airport,NAS
Duncan Town Airport,DCT
Rum Cay Airport,RCY
Moyale Airport,MYS
San Salvador Airport,ZSA
Menyamya Airport,MYX
Paradise Island Airport,NTC
Ibo Airport,IBO
Chokw?Ÿ?? Airport,TGS
Philip S. W. Goldson International Airport,BZE
Manatee Airport,MZE
San Ignacio Town (Maya Flats) Airstrip,CYD
Ine Airport,IMI
Bagani Airport,BQI
Changbaishan Airport,NBS
Aitutaki Airport,AIT
Enua Airport,AIU
Mangaia Island Airport,MGS
Manihiki Island Airport,MHX
Mauke Airport,MUK
Mitiaro Island Airport,MOI
Pukapuka Island Airport,PZK
Tongareva Airport,PYE
Rarotonga International Airport,RAR
Namudi Airport,NDI
Nadunumu Airport,NDN
Browns Airport,EPG
Cicia Airport,ICI
Nadi International Airport,NAN
Malolo Lailai Island Airport,PTF
Rabi Island Airport,RBI
Vunisea Airport,KDV
Mana Island Airport,MNF
Moala Airport,MFJ
Nausori International Airport,SUV
Levuka Airfield,LEV
Ngau Airport,NGI
Laucala Island Airport,LUC
Lakeba Island Airport,LKB
Labasa Airport,LBS
Matei Airport,TVU
Koro Island Airport,KXF
Rotuma Airport,RTA
Savusavu Airport,SVU
Vatukoula Airport,VAU
Wakaya Island Airport,KAY
Ono-i-Lau Airport,ONU
Yasawa Island Airport,YAS
Kaufana Airport,EUA
Fua'amotu International Airport,TBU
Lifuka Island Airport,HPA
Mata'aho Airport,NFO
Kuini Lavenia Airport,NTT
Vava'u International Airport,VAV
Vanua Balavu Airport,VBV
Vatulele Airport,VTF
Gombe Lawanti International Airport,GMO
Port Harcourt City Airport,PHG
Warri Airport,QRW
Abaiang Airport,ABF
Beru Airport,BEZ
Funafuti International Airport,FUN
Kuria Airport,KUC
Maiana Airport,MNK
Marakei Airport,MZK
Makin Island Airport,MTK
Nikunau Airport,NIG
Onotoa Airport,OOT
Bonriki International Airport,TRW
Abemama Atoll Airport,AEA
Tabiteuea North Airport,TBF
Tamana Island Airport,TMN
Nonouti Airport,NON
Arorae Island Airport,AIS
Tabiteuea South Airport,TSU
Butaritari Atoll Airport,BBG
Aranuka Airport,AAK
Niokolo-Koba Airport,NIK
Niue International Airport,IUE
Sinak Airport,NKD
Ninglang Luguhu Airport,NLH
Pointe Vele Airport,FUT
Hihifo Airport,WLS
Industrial Airpark,HBB
Nangade Airport,NND
Nomad River Airport,NOM
Naoro Airport,NOO
Mountain Airport,MWP
Nipa Airport,NPG
Newry Airport,NRY
Ofu Village Airport,OFU
Asau Airport,AAU
Faleolo International Airport,APW
Fitiuta Airport,FTI
Maota Airport,MXS
Pago Pago International Airport,PPG
Faa'a International Airport,PPT
Rimatara Airport,RMT
Rurutu Airport,RUR
Tubuai Airport,TUB
Raivavae Airport,RVV
Anaa Airport,AAA
Fangatau Airport,FGU
Tikehau Airport,TIH
Apataki Airport,APK
Reao Airport,REA
Fakarava Airport,FAV
Hikueru Atoll Airport,HHZ
Manihi Airport,XMH
Totegegie Airport,GMR
Kaukura Airport,KKR
Makemo Airport,MKP
Napuka Island Airport,NAU
Tatakoto Airport,TKV
Puka Puka Airport,PKP
Pukarua Airport,PUK
Takapoto Airport,TKP
Arutua Airport,AXR
Mataiva Airport,MVT
Nukutavake Airport,NUK
Tureia Airport,ZTA
Ahe Airport,AHE
Kauehi Airport,KHZ
Faaite Airport,FAC
Fakahina Airport,FHZ
Aratika Nord Airport,RKA
Takume Airport,TJN
Naiu Airport,NIU
Raroia Airport,RRR
Takaroa Airport,TKX
Katiu Airport,KXU
